Symbol,Name,Industry,Market Cap
ALNA,Allena Pharmaceuticals,Biotechnology,19738375
ALNY,Alnylam Pharmaceuticals,Biotechnology,19629090736
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,224325430
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",110079876
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,192550040
ALPN,Alpine Immune Sciences,Biotechnology,271740759
ALPP,Alpine 4 Holdings,Metal Fabrication,192425087
ALR,AlerisLife,Medical Care Facilities,70130422
ALRM,Alarm.com Holdings,Software,3344194027
ALRN,Aileron Therapeutics,Biotechnology,46409911
ALRS,Alerus Financial,Diversified Financial Services,477110624
ALSA,Alpha Star Acquisition,Blank Check / SPAC,145432430
ALSN,Allison Transmission Holdings,Machinery,3810638298
ALT,Altimmune,Biotechnology,263226255
ALTG,Alta Equipment Group,Trading Companies & Distributors,400011611
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",502820895
ALTR,Altair Engineering,Software,5108072953
ALTU,Altitude Acquisition,Blank Check / SPAC,373124990
ALV,Autoliv,Auto Components,6691129841
ALVR,AlloVir,Biotechnology,441082111
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1308640916
ALXO,ALX Oncology Holdings,Biotechnology,686662193
ALYA,Alithya Group,IT Services,239472430
ALZN,Alzamend Neuro,Biotechnology,110826199
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",5192414199
AMAL,Amalgamated Financial,Banks,559138293
AMAM,Ambrx Biopharma,Biotechnology,144015424
AMAO,American Acquisition Opportunity,Blank Check / SPAC,135897775
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,1.19965E+11
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,3882365147
AMBC,Ambac Financial Group,Insurance,481904758
AMBO,Ambow Education Holding,Diversified Consumer Services,17811366
AMBP,Ardagh Metal Packaging,Packaging & Containers,4904804862
AMC,AMC Entertainment Holdings,Entertainment,12648450041
AMCI,AMCI Acquisition II,Blank Check / SPAC,183000000
AMCR,Amcor,Containers & Packaging,17150561273
AMCX,AMC Networks,Media,1721740902
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.77936E+11
AME,AMETEK,Electrical Equipment,30857936782
AMED,Amedisys,Health Care Providers & Services,5603852680
AMEH,Apollo Medical Holdings,Health Care Providers & Services,2182633182
AMG,Affiliated Managers Group,Capital Markets,5606779293
AMGN,Amgen,Biotechnology,1.35119E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,15997428719
AMK,AssetMark Financial Holdings,Capital Markets,1677983727
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5313015797
AMLX,Amylyx Pharmaceuticals,Biotechnology,725588087
AMN,AMN Healthcare Services,Health Care Providers & Services,4796112802
AMNB,American National Bankshares,Banks,405700560
AMOT,Allied Motion Technologies,Electrical Equipment,461392048
AMOV,America Movil,Wireless Telecommunication Services,67456409580
AMP,Ameriprise Financial,Capital Markets,33212905317
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,106777895
AMPG,AmpliTech Group,Communication Equipment,32195886
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1728473710
AMPI,Advanced Merger Partners,Blank Check / SPAC,351109375
AMPL,Amplitude,Software-Application,2028590063
AMPS,Altus Power,Utilities-Renewable,1152080895
AMPY,Amplify Energy,Oil & Gas E&P,209353100
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2447501708
AMRC,Ameresco,Construction & Engineering,4112081850
AMRK,A-Mark Precious Metals,Diversified Financial Services,882418386
AMRN,Amarin,Biotechnology,1305267967
AMRS,Amyris,Chemicals,1414898558
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1262492540
AMS,American Shared Hospital Services,Health Care Providers & Services,13731117
AMSC,American Superconductor,Electrical Equipment,216563097
AMSF,AMERISAFE,Insurance,961814747
AMST,Amesite,Software-Application,14671628
AMSWA,American Software,Software,699340404
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.14527E+11
AMTB,Amerant Bancorp,Banks,1094091250
AMTD,AMTD International,Capital Markets,2377607422
AMTI,Applied Molecular Transport,Biotechnology,290677305
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",428580475
AMWD,American Woodmark,Building Products,811130870
AMWL,American Well,Health Information Services,1108556158
AMX,America Movil,Wireless Telecommunication Services,67938238454
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,528973207
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.65881E+12
AN,AutoNation,Specialty Retail,6111384027
ANAB,AnaptysBio,Biotechnology,684615151
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,387011417
ANAT,American National Group,Insurance,5084100458
ANDE,The Andersons,Food & Staples Retailing,1708226777
ANEB,Anebulo Pharmaceuticals,Biotechnology,165279753
ANET,Arista Networks,Communications Equipment,42708553722
ANF,Abercrombie & Fitch Company,Specialty Retail,1619516143
ANGH,Anghami,Entertainment,225994138
ANGI,Angi Inc.,Interactive Media & Services,2969628411
ANGN,Angion Biomedica,Biotechnology,63511167
ANGO,AngioDynamics,Health Care Equipment & Supplies,833957739
ANIK,Anika Therapeutics,Biotechnology,363266344
ANIP,ANI Pharmaceuticals,Pharmaceuticals,485518731
ANIX,Anixa Biosciences,Biotechnology,82617302
ANNX,Annexon,Biotechnology,105278630
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,7170649
ANSS,ANSYS,Software,27643838441
ANTE,AirNet Technology,Media,30252180
ANTM,Anthem,Health Care Providers & Services,1.18533E+11
ANTX,AN2 Therapeutics,Health Care,282408755
ANVS,Annovis Bio,Biotechnology,108988332
ANY,Sphere 3D,Software,132712223
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,519031259
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116246063
AOMR,Angel Oak Mortgage,REIT-Mortgage,411657978
AON,Aon plc,Insurance,69666586348
AORT,Artivion,Medical Devices,857669368
AOS,A. O. Smith,Building Products,10032199661
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1459559410
AOUT,American Outdoor Brands,Leisure Products,175313059
AP,Ampco-Pittsburgh,Metals & Mining,121092054
APA,APA Corporation,"Oil, Gas & Consumable Fuels",14332253154
APAC,Stonebridge Acquisition,Blank Check / SPAC,248749999
APAM,Artisan Partners Asset Management,Capital Markets,2617369066
APCA,AP Acquisition,Blank Check / SPAC,215840614
APCX,AppTech Payments,Software-Infrastructure,21004378
APD,Air Products & Chemicals,Chemicals,55409295220
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",17621444
APEI,American Public Education,Diversified Consumer Services,400505688
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,239720971
APG,APi Group,Construction & Engineering,4891094520
APGB,Apollo Strategic Growth Capital II,Shell Companies,845250039
APH,Amphenol,"Electronic Equipment, Instruments & C...",45130129376
API,Agora,"Electronic Equipment, Instruments & C...",1151757690
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,4101760248
APLS,Apellis Pharmaceuticals,Biotechnology,5400848848
APLT,Applied Therapeutics,Biotechnology,55314702
APM,Aptorum Group,Biotechnology,59496756
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180562490
APN,Apeiron Capital Investment,Blank Check / SPAC,215193740
APO,Apollo Global Management,Capital Markets,37194002417
APOG,Apogee Enterprises,Building Products,1180116582
APP,AppLovin,Software-Application,20696793055
APPF,AppFolio,Software,3944236286
APPH,AppHarvest,Food Products,544874494
APPN,Appian,Software,4393235448
APPS,Digital Turbine,Software,4247870172
APRE,Aprea Therapeutics,Biotechnology,40872199
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,131786599
APSG,Apollo Strategic Growth Capital,Shell Companies,1015904959
APT,Alpha Pro Tech,Building Products,55576075
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,350487610
APTO,Aptose Biosciences,Biotechnology,125586480
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1403146870
APTV,Aptiv,Auto Components,32431235009
APTX,Aptinyx,Biotechnology,153714623
APVO,Aptevo Therapeutics,Biotechnology,29392492
APWC,Asia Pacific Wire & Cable,Electrical Equipment,37521484
APXI,APx Acquisition I,Blank Check / SPAC,214978125
APYX,Apyx Medical,Health Care Equipment & Supplies,224818111
AQB,AquaBounty Technologies,Biotechnology,132975127
AQMS,Aqua Metals,Commercial Services & Supplies,107683839
AQN,Algonquin Power & Utilities,Multi-Utilities,10455590905
AQST,Aquestive Therapeutics,Pharmaceuticals,107606901
AQUA,Evoqua Water Technologies,Machinery,5677533140
AR,Antero Resources,"Oil, Gas & Consumable Fuels",9608005625
ARAV,Aravive,Biotechnology,40679571
ARAY,Accuray,Health Care Equipment & Supplies,306947901
ARBE,Arbe Robotics,Software-Infrastructure,432463066
ARBG,Aequi Acquisition,Blank Check / SPAC,282612509
ARBK,Argo Blockchain,Capital Markets,461528822
ARC,ARC Document Solutions,Commercial Services & Supplies,168501840
ARCB,ArcBest,Road & Rail,1979696250
ARCC,Ares Capital,Capital Markets,10240296940
ARCE,Arco Platform,Diversified Consumer Services,1215389561
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2126243998
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,215840614
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1711186172
ARCT,Arcturus Therapeutics Holdings,Biotechnology,711069946
ARDS,Aridis Pharmaceuticals,Biotechnology,24735040
ARDX,Ardelyx,Biotechnology,139414591
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,32188530561
AREC,American Resources,"Oil, Gas & Consumable Fuels",158649695
AREN,Arena Group Holdings,Internet Content & Information,2737943758
ARES,Ares Management,Capital Markets,14470232025
ARGO,Argo Group International Holdings,Insurance,1448238582
ARGU,Argus Capital,Blank Check / SPAC,380176094
